LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2395,2395,11,0.34863927960395813,1640.8584968495147,866.3119309040057,0.0,25.0,25,8.0,1,,4.8099547511312215,1.0,0.0,32.0,1063.0,6.922958543711155,0.7447416413373862,0.5931352934588427
ID2911,2911,11,0.38921070098876953,1630.9995332897593,839.7159026070311,0.0,95.0,95,8.0,1,,5.402714932126697,1.0,0.0,32.0,1194.0,7.97073008263265,0.7848562932683104,0.5961160790751677
ID2146,2146,11,0.333687424659729,1776.5386506115856,1090.2665049411933,0.0,7.0,7,8.0,1,,4.710407239819005,2.0,0.0,29.0,1041.0,6.309252247636872,0.810757958680226,0.6685615226085813
ID3170,3170,11,0.3856724798679352,1511.1590022422715,835.0069214734599,0.0,117.0,117,8.0,1,,5.040723981900452,1.0,0.0,29.0,1114.0,7.468915426973711,0.8509657113186624,0.6205532556481982
ID3428,3428,11,0.45162323117256165,1672.674507142383,847.8186844073625,0.0,130.0,130,8.0,1,,6.212669683257919,1.0,0.0,37.0,1373.0,9.058648435432213,0.8421345226300767,0.627054059591561
ID2406,2406,11,0.34693655371665955,1636.1050113505437,820.8505027763147,0.0,40.0,40,8.0,1,,4.375565610859729,1.0,0.0,29.0,967.0,6.677583958254609,0.7881039619217204,0.577611171413765
ID2664,2664,11,0.3927021622657776,1595.8836203081753,864.2845124647941,0.0,68.0,68,8.0,1,,5.67420814479638,2.0,0.0,27.0,1254.0,7.147963151207781,0.7635427461491301,0.6873854231929507
ID2921,2921,11,0.3487785756587982,1549.1628577468227,845.0571064084696,0.0,91.0,91,8.0,1,,5.013574660633484,1.0,0.0,27.0,1108.0,7.1060023526907115,0.7581035565660387,0.6084658618472683
ID2415,2415,11,0.3507234752178192,1624.8824164905839,824.4675864647759,0.0,35.0,35,8.0,1,,5.031674208144796,2.0,0.0,33.0,1112.0,6.4444402678669075,0.8081255441996782,0.6979230784847634
ID2671,2671,11,0.38998672366142273,1632.0680956561364,811.2685001215094,0.0,65.0,65,8.0,1,,5.393665158371041,2.0,0.0,28.0,1192.0,7.258459369221829,0.7576120272419669,0.640609495948135
